ISO,2011,2012,2013,2014,2015,2016,2017,2018,2019
CUB,6139.71933,6497.321113,6837.712892,7133.342095,7694.01192,8060.795886,8541.210673,8821.818891,
CUW,20146.38641,20587.39736,20462.71795,20258.00969,19951.3279,19555.36585,19457.53152,19573.89265,19689.13982
CYM,72328.41261,72783.31979,73515.89629,74990.43274,76280.48662,78465.35733,81302.12297,85975.02474,
CYP,32396.38574,28912.15694,27729.1927,27129.62612,23333.71491,24532.51906,26338.69434,28689.70672,27858.371
CZE,21871.26608,19870.80121,20133.16914,19890.91991,17829.69832,18575.23203,20636.19995,23415.84363,23494.5962
DEU,46644.77603,43858.36306,46285.76407,47959.99327,41086.72967,42107.51727,44552.81937,47810.50767,46445.2491
DJI,1451.54298,1559.240651,2312.728803,2464.327841,2658.978753,2802.197051,2914.383856,3141.889219,3414.92487
DMA,7065.061847,6848.394227,7016.676471,7318.103783,7596.435062,8080.968623,7274.721333,7693.87887,8110.568512
DNK,61753.64713,58507.50805,61191.1937,62548.98473,53254.85637,54663.99837,57610.09818,61598.5367,60170.34264
DOM,5913.432072,6110.369652,6238.133608,6608.828102,6921.517228,7280.880109,7609.3388,8050.63044,8282.116359
DZA,5462.260897,5591.212353,5498.784095,5494.352336,4187.509727,3945.482081,4111.29411,4153.733978,3973.964072
EAP,4858.636743,5378.90505,5891.53524,6306.40729,6522.749115,6612.327237,7173.567315,7971.673386,8192.143336
EAR,3257.344819,3366.871974,3378.151561,3448.533284,3302.729122,3334.115479,3555.334594,3585.307952,3644.014158
EAS,8861.509063,9420.554328,9466.303549,9703.324663,9598.287726,9857.959376,10467.35392,11318.34574,11502.86511
ECA,9628.084874,10206.4601,10748.21502,9910.10935,7472.89502,7058.861719,7879.818701,8031.821416,8133.573458
ECS,26118.77023,25075.84497,26079.54277,26305.79252,22554.46725,22383.04979,23629.10625,25215.21379,24742.71983
ECU,5200.55579,5682.045007,6056.330827,6377.09153,6124.491643,6060.093329,6213.501276,6295.935399,6183.823825
EGY,2791.810799,3229.68563,3262.658029,3379.55851,3562.932735,3519.873203,2444.290311,2537.125365,3019.205829
EMU,40615.34797,37599.91575,39105.15174,39858.37398,34370.78718,35147.74223,37140.66985,40038.50678,38976.34288
ERI,642.5076591,,,,,,,,
ESP,31636.44631,28324.42934,29059.54795,29461.55033,25732.01836,26505.34322,28170.16786,30389.36099,29600.37825
EST,17621.54796,17534.42135,19174.10033,20367.10316,17522.23019,18437.25282,20458.46073,23170.70738,23723.30611
ETH,354.4795758,467.0779272,499.5315721,566.9264665,640.5418913,717.1245929,768.5223076,771.5238139,855.7608623
EUU,35721.53221,33159.11101,34563.74263,35242.19074,30469.62439,31172.22864,33080.91864,35733.716,34913.19156
FCS,2188.810694,2467.646304,2530.412354,2694.563718,2364.247697,2075.899974,2055.573604,2175.936541,2228.270237
FIN,51081.99767,47710.79022,49878.04324,50260.29986,42784.69836,43784.28396,46336.66325,50030.87731,48782.78848
FJI,4371.45751,4591.555784,4840.693716,5605.570356,5390.745258,5651.318055,6101.030839,6317.487853,6175.88872
FRA,43790.73205,40874.70351,42592.93409,43011.2631,36638.18493,37037.37419,38812.16103,41631.09074,40493.92857
FRO,52083.88914,49459.71723,54853.6256,59440.03076,52404.65933,56854.10265,60108.46669,64269.70425,
FSM,3009.198647,3131.386715,2994.679304,2971.45729,2906.376785,3014.700358,3289.701146,3568.291016,
GAB,10809.64645,9813.477703,9683.57629,9663.42924,7384.71587,6984.451019,7230.396393,7956.627816,7767.013404
GBR,42038.57225,42462.77157,43444.533,47425.60768,44974.83188,41064.13343,40361.41738,43043.22782,42330.11754
GEO,4021.743306,4421.818242,4623.745725,4739.188338,4014.185944,4062.169888,4357.000936,4722.787783,4697.704576
GHA,1549.462902,1587.561237,2345.392906,1971.033347,1743.850996,1931.38947,2025.932424,2202.312164,2202.115567
GIB,,,,,,,,,
GIN,651.1353635,717.0507379,769.0039433,787.2380702,769.2560137,732.2910752,855.5736399,878.5996133,962.8399086
GMB,762.7610541,742.7811378,700.514972,607.4284041,660.7235712,690.778886,679.756914,732.7175138,777.8119321
GNB,703.6637187,616.3764321,634.6628092,623.3108816,603.4011182,661.4567254,738.5499449,778.3499102,697.2949269
GNQ,21641.87052,21711.15323,20390.71932,19394.02999,11283.46561,9250.331953,9667.912252,10144.19581,8131.923888
GRC,25916.29349,22242.68195,21874.81947,21760.97975,18167.77373,18116.45965,18930.21863,20324.30499,19582.53598
GRD,7291.058897,7444.504768,7789.776381,8369.886755,9096.870646,9628.347487,10152.83281,10485.90716,10808.67212
GRL,47186.98147,45936.76595,47535.58995,50484.92757,44536.40131,48181.87419,50321.36875,54470.95639,
GTM,3281.667502,3408.784916,3522.773698,3779.642319,3994.636913,4173.301666,4451.450981,4472.892371,4619.985258
GUM,30859.40435,32494.56236,33265.38119,34394.09748,35278.92594,35562.83791,35615.80463,35712.56214,
