Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","26/04/2021 14:32 UTC"
"Last updated:","08 December 2020"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=0DHmas
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:
Origin:,all
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Female 0 - 4","Female 5 - 11","Female 12 - 17","Female 5 - 17","Female 18 - 59","Female 60",f_other,"Female total",f_unknown,"Male 0 - 4","Male 5 - 11","Male 12 - 17","Male 5 - 17","Male 18 - 59","Male 60","Male total",m_other,m_unknown,Total
2019,"Iran (Islamic Rep. of)",IRN,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,11866
2019,Iraq,IRQ,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,4946
2019,Israel,ISR,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,10
2019,Italy,ITA,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2019,Jamaica,JAM,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2019,Jordan,JOR,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,133
2019,Japan,JPN,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,10
2019,Kazakhstan,KAZ,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,7
2019,Kenya,KEN,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,93
2019,Kyrgyzstan,KGZ,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,13
2019,"Rep. of Korea",KOR,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,37
2019,"Dem. People's Rep. of Korea",PRK,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,18
2019,Kuwait,KWT,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,51
2019,"Lao People's Dem. Rep.",LAO,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2019,Liberia,LBR,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,43
2019,Libya,LBY,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,1160
2019,Lebanon,LBN,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,513
2019,"Sri Lanka",LKA,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,4585
2019,"North Macedonia",MKD,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2019,Maldives,MDV,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,15
2019,Mexico,MEX,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,14
2019,Malaysia,MYS,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,494
2019,Mongolia,MNG,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,19
2019,Morocco,MAR,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,12
2019,Mozambique,MOZ,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2019,Mauritius,MUS,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,7
2019,Myanmar,MMR,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,506
2019,Nepal,NPL,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,143
2019,Nigeria,NGA,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,193
2019,"New Zealand",NZL,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,26
2019,Oman,OMN,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2019,Pakistan,PAK,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5333
2019,Peru,PER,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,20
2019,Philippines,PHL,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,48
2019,"Papua New Guinea",PNG,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,470
